ANNEE;MATRICULE;SEXE;DIPLOME;AGAFFECT;DIRAFFECT;GRADE;AGE;ANCIENNETE;ANC_GRADE;NBJABSIRR;NBJABSMAL;NOTE;PROMU
2000;11350;F;BAC            ;0;A;CHEF SERV.PRINC.         ;50;29;2;.0    ;3.0   ;19.0 ; 
2000;22550;M;SECONDAIRE     ;0;A;CHEF DE SEC.H.C CL0      ;43;20;5;.0    ;.0    ;17.5 ; 
2000;10850;M;SECON 1ER CYCLE;0;A;CHEF DE SEC.H.C CL0      ;49;29;3;.0    ;.0    ;19.0 ; 
2000;46150;F;SECONDAIRE     ;0;A;SECRETAIRE PR.CL1        ;33;10;2;.5    ;87.0  ;17.8 ; 
2000;46350;F;SECONDAIRE     ;0;A;SECRETAIRE CL1           ;43;10;2;4.5   ;1.0   ;14.3 ; 
2000;24400;F;SECON 1ER CYCLE;0;A;AGENT DE BUR.CL3         ;43;20;5;46.5  ;1.0   ;10.3 ; 
2000;48300;M;PRIMAIRE       ;0;A;HUISSIER CL0             ;44;9;2;2.0   ;4.0   ;15.6 ; 
2000;48400;M;PRIMAIRE       ;0;A;HUISSIER CL0             ;44;9;2;9.0   ;7.0   ;15.1 ; 
2000;9250;F;BAC            ;0;D;CHEF DE SERVICE          ;55;31;2;.0    ;5.0   ;19.0 ; 
2000;35700;M;PRIMAIRE       ;0;D;HUISSIER CL0             ;48;13;3;1.0   ;.0    ;17.0 ; 
2000;12200;F;SECONDAIRE     ;73;E;CHEF SERV.PRINC.         ;50;27;4;.0    ;2.0   ;19.0 ; 
2000;32850;M;MAITRISE       ;46;E;CHEF SERV.PRINC.         ;41;14;2;.0    ;.0    ;18.6 ; 
2000;9850;M;BAC            ;0;E;CHEF DE SERVICE          ;55;30;5;.0    ;70.0  ;17.0 ; 
2000;36400;M;BAC+6          ;37;E;CHEF DE SERVICE          ;37;13;5;.0    ;.0    ;18.6 ; 
2000;40550;M;MAITRISE       ;0;E;CHEF DE SERVICE          ;36;12;5;.0    ;.0    ;19.0 ; 
2000;38100;M;MAITRISE SC ECO;71;E;CHEF DE SERVICE          ;41;12;3;.0    ;.0    ;19.0 ; 
2000;38450;M;MAITRISE       ;58;E;CHEF DE SERVICE          ;47;12;3;.0    ;.0    ;17.4 ; 
2000;1850;F;PRIMAIRE       ;0;E;CHEF DE SERVICE          ;57;40;2;3.0   ;127.0 ;18.5 ; 
